,name,company,Empty,Price,kms_driven,fuel_type,abc,abc2,year
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,,3.0,2010
1,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,,,2009
2,Hyundai Grand i10,Hyundai,2014,325000,28000,Petrol,,,2017
3,Ford EcoSport Titanium,Ford,2014,575000,36000,Diesel,,,2017
4,Ford Figo,Ford,2012,175000,41000,Diesel,,,2015
5,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,,,2016
6,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,,,2019
7,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol,,,2018
8,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol,,,2013
9,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol,,,2018
10,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,,,2017
11,Mahindra Scorpio SLE,Mahindra,2015,320000,48660,Diesel,,,2018
12,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,,,2010
13,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,,,2009
14,Audi A8,Audi,2017,1000000,4000,Petrol,,,2020
15,Audi Q7,Audi,2014,500000,16934,Diesel,,,2017
16,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,,,2019
17,Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol,,,2017
18,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,,,2019
19,Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel,,,2019
20,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol,,,2018
21,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,,,2015
22,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,,,2015
23,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,,,2015
24,Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol,,,2020
25,Maruti Suzuki Vitara,Maruti,2016,290000,15975,Diesel,,,2019
26,Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol,,,2011
27,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,,,2020
28,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel,,,2017
29,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel,,,2018
30,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol,,,2020
31,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,,,2016
32,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,,,2016
33,Toyota Innova 2.0,Toyota,2012,650000,82000,Diesel,,,2015
34,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,,,2021
35,Skoda Yeti Ambition,Skoda,2012,448000,68000,Diesel,,,2015
36,Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel,,,2020
37,Renault Duster 110,Renault,2012,501000,38000,Diesel,,,2015
38,Renault Duster 85,Renault,2013,489999,27000,Diesel,,,2016
39,Honda City 1.5,Honda,2011,280000,33000,Petrol,,,2014
40,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol,,,2018
41,Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel,,,2016
42,Honda Amaze,Honda,2013,284999,46000,Diesel,,,2016
43,Honda Amaze 1.5,Honda,2015,345000,36000,Diesel,,,2018
44,Honda City,Honda,2015,499999,55000,Petrol,,,2018
45,Datsun Redi GO,Datsun,2017,235000,16000,Petrol,,,2020
46,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol,,,2013
47,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel,,,2018
48,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,,,2020
49,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel,,,2017
50,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel,,,2018
51,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol,,,2020
52,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,,,2016
53,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol,,,2016
54,Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel,,,2018
55,Maruti Suzuki Swift,Maruti,2017,220000,30874,Petrol,,,2020
56,Honda City ZX,Honda,2017,170000,15000,Diesel,,,2020
57,Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol,,,2016
58,Ford Figo,Ford,2012,175000,41000,Diesel,,,2015
59,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,,,2016
60,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,,,2020
61,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,,,2019
62,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,,,2020
63,Mahindra Scorpio SLE,Mahindra,2012,570000,19000,Diesel,,,2015
64,Volkswagen Polo Highline,Volkswagen,2014,315000,60000,Petrol,,,2017
65,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol,,,2013
66,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol,,,2018
67,Chevrolet Spark LS,Chevrolet,2010,110000,41000,Petrol,,,2013
68,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,,,2015
69,Honda City,Honda,2015,448999,54000,Petrol,,,2018
70,Mini Cooper S,Mini,2013,1891111,13000,Petrol,,,2016
71,Datsun Redi GO,Datsun,2017,235000,16000,Petrol,,,2020
72,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,,,2014
73,Honda Amaze,Honda,2015,344999,22000,Petrol,,,2018
74,Honda Amaze,Honda,2015,344999,22000,Petrol,,,2018
75,Renault Duster,Renault,2014,449999,50000,Diesel,,,2017
76,Mini Cooper S,Mini,2013,1891111,13500,Petrol,,,2016
77,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel,,,2018
78,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,,,2017
79,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,,,2016
80,Ford EcoSport,Ford,2017,489999,39000,Petrol,,,2020
81,Honda Brio,Honda,2012,224999,30000,Petrol,,,2015
82,Volkswagen Vento Highline,Volkswagen,2019,1200000,3600,Diesel,,,2022
83,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol,,,2012
84,Toyota Corolla Altis,Toyota,2010,351000,38000,Diesel,,,2013
85,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol,,,2011
86,Toyota Corolla Altis,Toyota,2009,240000,35000,Petrol,,,2012
87,Honda City 1.5,Honda,2005,90000,50000,Petrol,,,2008
88,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,,,2017
89,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel,,,2014
90,BMW 3 Series,BMW,2011,600000,60500,Petrol,,,2014
91,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol,,,2014
92,Toyota Etios GD,Toyota,2013,350000,60000,Diesel,,,2016
93,Ford Figo Diesel,Ford,2012,210000,35000,Diesel,,,2015
94,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol,,,2017
95,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel,,,2015
96,BMW 7 Series,BMW,2009,1600000,35000,Petrol,,,2012
97,Mahindra XUV500 W8,Mahindra,2013,701000,38000,Diesel,,,2016
98,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol,,,2017
99,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel,,,2018
100,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,,,2016
101,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol,,,2019
102,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel,,,2017
103,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol,,,2019
104,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel,,,2016
105,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol,,,2015
106,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel,,,2017
107,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol,,,2017
108,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel,,,2015
109,Ford Figo Diesel,Ford,2014,195000,50000,Diesel,,,2017
110,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol,,,2018
111,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol,,,2017
112,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,,,2010
113,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,,,2017
114,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,,,2012
115,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,,,2016
116,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,,,2016
117,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel,,,2018
118,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol,,,2017
119,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel,,,2014
120,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol,,,2015
121,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol,,,2020
122,Nissan Micra XV,Nissan,2011,179000,41000,Petrol,,,2014
123,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol,,,2010
124,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol,,,2021
125,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel,,,2016
126,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol,,,2018
127,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol,,,2018
128,Honda City 1.5,Honda,2010,285000,35000,Petrol,,,2013
129,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel,,,2019
130,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol,,,2012
131,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol,,,2016
132,Tata Indica V2,Tata,2006,90000,20000,Petrol,,,2009
133,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel,,,2003
134,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol,,,2013
135,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol,,,2015
136,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel,,,2015
137,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel,,,2017
138,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol,,,2018
139,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol,,,2017
140,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel,,,2018
141,Renault Duster,Renault,2014,449999,50000,Diesel,,,2017
142,Honda Amaze,Honda,2015,344999,22000,Petrol,,,2018
143,Nissan Sunny,Nissan,2012,224999,45000,Petrol,,,2015
144,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol,,,2021
145,Renault Kwid,Renault,2016,244999,11000,Petrol,,,2019
146,Renault Duster,Renault,2013,399999,41000,Diesel,,,2016
147,Ford EcoSport,Ford,2017,489999,39000,Petrol,,,2020
148,Renault Duster,Renault,2014,474999,50000,Diesel,,,2017
149,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel,,,2014
150,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol,,,2021
151,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol,,,2013
152,Datsun Redi GO,Datsun,2016,245000,7000,Petrol,,,2019
153,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel,,,2013
154,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel,,,2015
155,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel,,,2013
156,Toyota Etios GD,Toyota,2013,275000,24800,Petrol,,,2016
157,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel,,,2017
158,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol,,,2013
159,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel,,,2014
160,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel,,,2014
